競馬場,RPT,分類ラベル,ゾーンラベル,出走数,勝ち数,連対数,複勝数,勝率,連対率,複勝率
園田,12,BB順位,BB1（最上位）,32.0,15.0,25,30,46.9,78.1,93.8
園田,12,BB順位,BB2-4（中位）,96.0,15.0,32,49,15.6,33.3,51.0
園田,12,BB順位,BB5+（下位）,177.0,2.0,7,17,1.1,4.0,9.6
園田,13,BB順位,BB1（最上位）,22.0,11.0,15,17,50.0,68.2,77.3
園田,13,BB順位,BB2-4（中位）,66.0,9.0,24,38,13.6,36.4,57.6
園田,13,BB順位,BB5+（下位）,95.0,2.0,5,11,2.1,5.3,11.6
園田,1,単勝オッズ帯,O1（1〜2.9倍）,123.0,57.0,77,92,46.3,62.6,74.8
園田,1,単勝オッズ帯,O2（3.0〜6.9倍）,240.0,36.0,76,117,15.0,31.7,48.8
園田,1,単勝オッズ帯,O3（7.0〜14.9倍）,287.0,19.0,56,83,6.6,19.5,28.9
園田,1,単勝オッズ帯,O4（15〜29.9倍）,189.0,9.0,27,45,4.8,14.3,23.8
園田,1,単勝オッズ帯,O5（30倍以上）,500.0,5.0,16,41,1.0,3.2,8.2
園田,2,単勝オッズ帯,O1（1〜2.9倍）,92.0,35.0,52,62,38.0,56.5,67.4
園田,2,単勝オッズ帯,O2（3.0〜6.9倍）,244.0,38.0,82,124,15.6,33.6,50.8
園田,2,単勝オッズ帯,O3（7.0〜14.9倍）,208.0,16.0,41,76,7.7,19.7,36.5
園田,2,単勝オッズ帯,O4（15〜29.9倍）,134.0,8.0,16,24,6.0,11.9,17.9
園田,2,単勝オッズ帯,O5（30倍以上）,369.0,5.0,13,20,1.4,3.5,5.4
園田,3,単勝オッズ帯,O1（1〜2.9倍）,100.0,43.0,63,77,43.0,63.0,77.0
園田,3,単勝オッズ帯,O2（3.0〜6.9倍）,131.0,21.0,41,61,16.0,31.3,46.6
園田,3,単勝オッズ帯,O3（7.0〜14.9倍）,170.0,15.0,39,62,8.8,22.9,36.5
園田,3,単勝オッズ帯,O4（15〜29.9倍）,166.0,12.0,32,46,7.2,19.3,27.7
園田,3,単勝オッズ帯,O5（30倍以上）,381.0,2.0,11,33,0.5,2.9,8.7
園田,4,単勝オッズ帯,O1（1〜2.9倍）,61.0,21.0,32,40,34.4,52.5,65.6
園田,4,単勝オッズ帯,O2（3.0〜6.9倍）,143.0,27.0,57,84,18.9,39.9,58.7
園田,4,単勝オッズ帯,O3（7.0〜14.9倍）,95.0,9.0,22,38,9.5,23.2,40.0
園田,4,単勝オッズ帯,O4（15〜29.9倍）,82.0,3.0,7,10,3.7,8.5,12.2
園田,4,単勝オッズ帯,O5（30倍以上）,256.0,2.0,6,14,0.8,2.3,5.5
園田,5,単勝オッズ帯,O1（1〜2.9倍）,67.0,25.0,36,48,37.3,53.7,71.6
