競馬場,RPT,分類ラベル,ゾーンラベル,出走数,勝ち数,連対数,複勝数,勝率,連対率,複勝率
船橋,5,単勝オッズ帯,O1（1.0〜2.9倍）,46.0,17.0,23,32,37.0,50.0,69.6
船橋,5,単勝オッズ帯,O2（3.0〜6.9倍）,103.0,15.0,31,50,14.6,30.1,48.5
船橋,5,単勝オッズ帯,O3（7.0〜14.9倍）,94.0,11.0,29,41,11.7,30.9,43.6
船橋,5,単勝オッズ帯,O4（15.0〜29.9倍）,45.0,0.0,3,3,0.0,6.7,6.7
船橋,5,単勝オッズ帯,O5（30.0倍以上）,180.0,2.0,3,8,1.1,1.7,4.4
船橋,6,単勝オッズ帯,O1（1.0〜2.9倍）,70.0,27.0,43,52,38.6,61.4,74.3
船橋,6,単勝オッズ帯,O2（3.0〜6.9倍）,117.0,24.0,43,62,20.5,36.8,53.0
船橋,6,単勝オッズ帯,O3（7.0〜14.9倍）,158.0,11.0,37,51,7.0,23.4,32.3
船橋,6,単勝オッズ帯,O4（15.0〜29.9倍）,121.0,5.0,9,22,4.1,7.4,18.2
船橋,6,単勝オッズ帯,O5（30.0倍以上）,308.0,5.0,12,29,1.6,3.9,9.4
船橋,7,単勝オッズ帯,O1（1.0〜2.9倍）,44.0,13.0,26,32,29.5,59.1,72.7
船橋,7,単勝オッズ帯,O2（3.0〜6.9倍）,96.0,22.0,39,56,22.9,40.6,58.3
船橋,7,単勝オッズ帯,O3（7.0〜14.9倍）,76.0,4.0,12,23,5.3,15.8,30.3
船橋,7,単勝オッズ帯,O4（15.0〜29.9倍）,53.0,1.0,5,13,1.9,9.4,24.5
船橋,7,単勝オッズ帯,O5（30.0倍以上）,177.0,4.0,6,7,2.3,3.4,4.0
船橋,8,単勝オッズ帯,O1（1.0〜2.9倍）,108.0,56.0,78,87,51.9,72.2,80.6
船橋,8,単勝オッズ帯,O2（3.0〜6.9倍）,147.0,25.0,50,80,17.0,34.0,54.4
船橋,8,単勝オッズ帯,O3（7.0〜14.9倍）,174.0,10.0,39,61,5.7,22.4,35.1
船橋,8,単勝オッズ帯,O4（15.0〜29.9倍）,153.0,5.0,14,30,3.3,9.2,19.6
船橋,8,単勝オッズ帯,O5（30.0倍以上）,431.0,3.0,17,40,0.7,3.9,9.3
船橋,9,単勝オッズ帯,O1（1.0〜2.9倍）,58.0,25.0,43,48,43.1,74.1,82.8
船橋,9,単勝オッズ帯,O2（3.0〜6.9倍）,116.0,22.0,40,52,19.0,34.5,44.8
船橋,9,単勝オッズ帯,O3（7.0〜14.9倍）,110.0,5.0,17,32,4.5,15.5,29.1
船橋,9,単勝オッズ帯,O4（15.0〜29.9倍）,85.0,3.0,11,22,3.5,12.9,25.9
船橋,9,単勝オッズ帯,O5（30.0倍以上）,279.0,4.0,7,23,1.4,2.5,8.2
船橋,10,単勝オッズ帯,O1（1.0〜2.9倍）,101.0,43.0,69,82,42.6,68.3,81.2
船橋,10,単勝オッズ帯,O2（3.0〜6.9倍）,145.0,27.0,53,75,18.6,36.6,51.7
船橋,10,単勝オッズ帯,O3（7.0〜14.9倍）,120.0,5.0,16,34,4.2,13.3,28.3
船橋,10,単勝オッズ帯,O4（15.0〜29.9倍）,113.0,6.0,13,28,5.3,11.5,24.8
船橋,10,単勝オッズ帯,O5（30.0倍以上）,311.0,1.0,13,26,0.3,4.2,8.4
船橋,11,単勝オッズ帯,O1（1.0〜2.9倍）,42.0,28.0,37,40,66.7,88.1,95.2
船橋,11,単勝オッズ帯,O2（3.0〜6.9倍）,46.0,8.0,18,25,17.4,39.1,54.3
船橋,11,単勝オッズ帯,O3（7.0〜14.9倍）,61.0,0.0,12,21,0.0,19.7,34.4
船橋,11,単勝オッズ帯,O4（15.0〜29.9倍）,53.0,2.0,4,11,3.8,7.5,20.8
船橋,11,単勝オッズ帯,O5（30.0倍以上）,187.0,1.0,7,20,0.5,3.7,10.7
船橋,12,単勝オッズ帯,O1（1.0〜2.9倍）,92.0,39.0,61,72,42.4,66.3,78.3
船橋,12,単勝オッズ帯,O2（3.0〜6.9倍）,69.0,16.0,34,41,23.2,49.3,59.4
船橋,12,単勝オッズ帯,O3（7.0〜14.9倍）,92.0,3.0,14,36,3.3,15.2,39.1
船橋,12,単勝オッズ帯,O4（15.0〜29.9倍）,98.0,4.0,12,23,4.1,12.2,23.5
船橋,12,単勝オッズ帯,O5（30.0倍以上）,275.0,3.0,9,22,1.1,3.3,8.0
船橋,13,単勝オッズ帯,O1（1.0〜2.9倍）,90.0,36.0,59,71,40.0,65.6,78.9
船橋,13,単勝オッズ帯,O2（3.0〜6.9倍）,77.0,13.0,29,43,16.9,37.7,55.8
船橋,13,単勝オッズ帯,O3（7.0〜14.9倍）,58.0,5.0,14,28,8.6,24.1,48.3
船橋,13,単勝オッズ帯,O4（15.0〜29.9倍）,81.0,4.0,10,21,4.9,12.3,25.9
船橋,13,単勝オッズ帯,O5（30.0倍以上）,283.0,3.0,10,20,1.1,3.5,7.1
浦和,1,C人気,C1（本命）,21.0,3.0,4,6,14.3,19.0,28.6
浦和,1,C人気,C2-4（中位人気）,61.0,7.0,16,24,11.5,26.2,39.3
浦和,1,C人気,C5+（穴人気）,161.0,10.0,21,32,6.2,13.0,19.9
浦和,2,C人気,C1（本命）,47.0,9.0,15,21,19.1,31.9,44.7
浦和,2,C人気,C2-4（中位人気）,140.0,25.0,38,59,17.9,27.1,42.1
浦和,2,C人気,C5+（穴人気）,335.0,13.0,42,61,3.9,12.5,18.2
浦和,3,C人気,C1（本命）,30.0,15.0,19,22,50.0,63.3,73.3
浦和,3,C人気,C2-4（中位人気）,90.0,12.0,24,34,13.3,26.7,37.8
浦和,3,C人気,C5+（穴人気）,221.0,4.0,18,35,1.8,8.1,15.8
浦和,4,C人気,C1（本命）,42.0,10.0,17,23,23.8,40.5,54.8
浦和,4,C人気,C2-4（中位人気）,124.0,20.0,35,47,16.1,28.2,37.9
浦和,4,C人気,C5+（穴人気）,272.0,12.0,32,56,4.4,11.8,20.6
浦和,5,C人気,C1（本命）,46.0,10.0,19,20,21.7,41.3,43.5
浦和,5,C人気,C2-4（中位人気）,137.0,29.0,43,67,21.2,31.4,48.9
浦和,5,C人気,C5+（穴人気）,330.0,8.0,30,52,2.4,9.1,15.8
浦和,6,C人気,C1（本命）,69.0,22.0,37,41,31.9,53.6,59.4
浦和,6,C人気,C2-4（中位人気）,212.0,29.0,59,87,13.7,27.8,41.0
浦和,6,C人気,C5+（穴人気）,525.0,20.0,47,85,3.8,9.0,16.2
浦和,7,C人気,C1（本命）,50.0,19.0,32,35,38.0,64.0,70.0
浦和,7,C人気,C2-4（中位人気）,151.0,27.0,47,72,17.9,31.1,47.7
浦和,7,C人気,C5+（穴人気）,342.0,6.0,26,48,1.8,7.6,14.0
浦和,8,C人気,C1（本命）,79.0,26.0,44,51,32.9,55.7,64.6
浦和,8,C人気,C2-4（中位人気）,235.0,36.0,75,114,15.3,31.9,48.5
浦和,8,C人気,C5+（穴人気）,534.0,17.0,38,70,3.2,7.1,13.1
浦和,9,C人気,C1（本命）,60.0,23.0,38,48,38.3,63.3,80.0
浦和,9,C人気,C2-4（中位人気）,185.0,29.0,54,78,15.7,29.2,42.2
浦和,9,C人気,C5+（穴人気）,416.0,10.0,31,58,2.4,7.5,13.9
浦和,10,C人気,C1（本命）,64.0,21.0,35,45,32.8,54.7,70.3
浦和,10,C人気,C2-4（中位人気）,190.0,27.0,52,88,14.2,27.4,46.3
浦和,10,C人気,C5+（穴人気）,434.0,16.0,42,61,3.7,9.7,14.1
浦和,11,C人気,C1（本命）,36.0,23.0,31,34,63.9,86.1,94.4
浦和,11,C人気,C2-4（中位人気）,107.0,11.0,31,52,10.3,29.0,48.6
浦和,11,C人気,C5+（穴人気）,214.0,2.0,10,22,0.9,4.7,10.3
浦和,12,C人気,C1（本命）,50.0,25.0,39,44,50.0,78.0,88.0
浦和,12,C人気,C2-4（中位人気）,146.0,19.0,45,71,13.0,30.8,48.6
浦和,12,C人気,C5+（穴人気）,328.0,6.0,17,36,1.8,5.2,11.0
浦和,13,C人気,C1（本命）,46.0,16.0,29,36,34.8,63.0,78.3
浦和,13,C人気,C2-4（中位人気）,134.0,24.0,50,75,17.9,37.3,56.0
浦和,13,C人気,C5+（穴人気）,303.0,6.0,13,27,2.0,4.3,8.9
浦和,1,BB順位,BB1（最上位）,20.0,4.0,5,7,20.0,25.0,35.0
浦和,1,BB順位,BB2-4（中位）,57.0,4.0,10,17,7.0,17.5,29.8
浦和,1,BB順位,BB5+（下位）,166.0,12.0,26,38,7.2,15.7,22.9
浦和,2,BB順位,BB1（最上位）,45.0,9.0,13,18,20.0,28.9,40.0
浦和,2,BB順位,BB2-4（中位）,124.0,18.0,35,54,14.5,28.2,43.5
浦和,2,BB順位,BB5+（下位）,353.0,20.0,47,69,5.7,13.3,19.5
浦和,3,BB順位,BB1（最上位）,30.0,15.0,19,22,50.0,63.3,73.3
浦和,3,BB順位,BB2-4（中位）,91.0,11.0,25,33,12.1,27.5,36.3
浦和,3,BB順位,BB5+（下位）,220.0,5.0,17,36,2.3,7.7,16.4
浦和,4,BB順位,BB1（最上位）,41.0,11.0,18,25,26.8,43.9,61.0
浦和,4,BB順位,BB2-4（中位）,124.0,19.0,33,43,15.3,26.6,34.7
浦和,4,BB順位,BB5+（下位）,273.0,12.0,33,58,4.4,12.1,21.2
浦和,5,BB順位,BB1（最上位）,48.0,7.0,15,20,14.6,31.2,41.7
浦和,5,BB順位,BB2-4（中位）,128.0,25.0,42,57,19.5,32.8,44.5
浦和,5,BB順位,BB5+（下位）,336.0,15.0,35,62,4.5,10.4,18.5
浦和,6,BB順位,BB1（最上位）,70.0,25.0,38,44,35.7,54.3,62.9
浦和,6,BB順位,BB2-4（中位）,205.0,23.0,51,78,11.2,24.9,38.0
浦和,6,BB順位,BB5+（下位）,531.0,23.0,54,91,4.3,10.2,17.1
浦和,7,BB順位,BB1（最上位）,52.0,22.0,30,35,42.3,57.7,67.3
浦和,7,BB順位,BB2-4（中位）,145.0,24.0,49,71,16.6,33.8,49.0
浦和,7,BB順位,BB5+（下位）,346.0,6.0,26,49,1.7,7.5,14.2
浦和,8,BB順位,BB1（最上位）,79.0,24.0,44,52,30.4,55.7,65.8
浦和,8,BB順位,BB2-4（中位）,230.0,29.0,62,97,12.6,27.0,42.2
浦和,8,BB順位,BB5+（下位）,539.0,26.0,51,86,4.8,9.5,16.0
浦和,9,BB順位,BB1（最上位）,61.0,24.0,39,48,39.3,63.9,78.7
浦和,9,BB順位,BB2-4（中位）,183.0,25.0,50,76,13.7,27.3,41.5
浦和,9,BB順位,BB5+（下位）,416.0,13.0,34,60,3.1,8.2,14.4
浦和,10,BB順位,BB1（最上位）,63.0,15.0,28,39,23.8,44.4,61.9
浦和,10,BB順位,BB2-4（中位）,177.0,33.0,62,92,18.6,35.0,52.0
浦和,10,BB順位,BB5+（下位）,447.0,16.0,39,63,3.6,8.7,14.1
浦和,11,BB順位,BB1（最上位）,36.0,23.0,31,34,63.9,86.1,94.4
浦和,11,BB順位,BB2-4（中位）,100.0,10.0,27,45,10.0,27.0,45.0
浦和,11,BB順位,BB5+（下位）,221.0,3.0,14,29,1.4,6.3,13.1
浦和,12,BB順位,BB1（最上位）,50.0,25.0,39,43,50.0,78.0,86.0
浦和,12,BB順位,BB2-4（中位）,152.0,19.0,39,67,12.5,25.7,44.1
浦和,12,BB順位,BB5+（下位）,322.0,6.0,23,41,1.9,7.1,12.7
浦和,13,BB順位,BB1（最上位）,46.0,14.0,29,37,30.4,63.0,80.4
浦和,13,BB順位,BB2-4（中位）,132.0,23.0,43,67,17.4,32.6,50.8
浦和,13,BB順位,BB5+（下位）,305.0,9.0,20,34,3.0,6.6,11.1
浦和,1,単勝オッズ帯,O1（1.0〜2.9倍）,14.0,3.0,4,8,21.4,28.6,57.1
浦和,1,単勝オッズ帯,O2（3.0〜6.9倍）,55.0,7.0,15,18,12.7,27.3,32.7
浦和,1,単勝オッズ帯,O3（7.0〜14.9倍）,54.0,7.0,15,20,13.0,27.8,37.0
浦和,1,単勝オッズ帯,O4（15.0〜29.9倍）,41.0,3.0,5,9,7.3,12.2,22.0
浦和,1,単勝オッズ帯,O5（30.0倍以上）,80.0,1.0,3,8,1.2,3.8,10.0
浦和,2,単勝オッズ帯,O1（1.0〜2.9倍）,28.0,6.0,10,15,21.4,35.7,53.6
浦和,2,単勝オッズ帯,O2（3.0〜6.9倍）,143.0,29.0,48,69,20.3,33.6,48.3
浦和,2,単勝オッズ帯,O3（7.0〜14.9倍）,109.0,10.0,24,34,9.2,22.0,31.2
浦和,2,単勝オッズ帯,O4（15.0〜29.9倍）,81.0,1.0,8,13,1.2,9.9,16.0
浦和,2,単勝オッズ帯,O5（30.0倍以上）,162.0,2.0,6,11,1.2,3.7,6.8
浦和,3,単勝オッズ帯,O1（1.0〜2.9倍）,29.0,16.0,21,24,55.2,72.4,82.8
