index,RPT,総合ランク,Web_複勝期待値_レンジ,試行回数,複勝的中数,複勝投資額,複勝払戻額,複勝的中率(%),複勝回収率(%),単勝的中数,単勝投資額,単勝払戻額,単勝的中率(%),単勝回収率(%)
852,8,B,"[0.0, 0.25)",1,0,100,0,0,0,0,100,0,0,0
853,8,B,"[0.25, 0.5)",10,2,1000,1070,20,107,1,1000,1790,10,179
854,8,B,"[0.5, 0.75)",51,20,5100,3590,39.21568627,70.39215686,9,5100,5780,17.64705882,113.3333333
855,8,B,"[0.75, 0.8)",10,4,1000,780,40,78,2,1000,900,20,90
856,8,B,"[0.8, 0.85)",10,5,1000,880,50,88,3,1000,1140,30,114
857,8,B,"[0.85, 0.9)",6,3,600,450,50,75,1,600,180,16.66666667,30
858,8,B,"[0.9, 0.95)",4,2,400,330,50,82.5,1,400,260,25,65
859,8,B,"[0.95, 1.0)",1,0,100,0,0,0,0,100,0,0,0
860,8,B,"[1.2, 1.4)",1,0,100,0,0,0,0,100,0,0,0
861,8,B,"[2.0, 100.0)",1,0,100,0,0,0,0,100,0,0,0
862,8,C,"[0.25, 0.5)",20,10,2000,2590,50,129.5,1,2000,1170,5,58.5
863,8,C,"[0.5, 0.75)",111,50,11100,11990,45.04504505,108.018018,16,11100,11550,14.41441441,104.0540541
864,8,C,"[0.75, 0.8)",17,9,1700,3240,52.94117647,190.5882353,2,1700,3310,11.76470588,194.7058824
865,8,C,"[0.8, 0.85)",7,1,700,300,14.28571429,42.85714286,1,700,1220,14.28571429,174.2857143
866,8,C,"[0.85, 0.9)",7,0,700,0,0,0,0,700,0,0,0
867,8,C,"[0.9, 0.95)",7,0,700,0,0,0,0,700,0,0,0
868,8,C,"[0.95, 1.0)",2,0,200,0,0,0,0,200,0,0,0
869,8,C,"[1.05, 1.1)",1,0,100,0,0,0,0,100,0,0,0
870,8,C,"[1.2, 1.4)",1,0,100,0,0,0,0,100,0,0,0
871,8,C,"[2.0, 100.0)",1,0,100,0,0,0,0,100,0,0,0
872,8,D,"[0.0, 0.25)",2,0,200,0,0,0,0,200,0,0,0
873,8,D,"[0.25, 0.5)",35,14,3500,5110,40,146,3,3500,7460,8.571428571,213.1428571
874,8,D,"[0.5, 0.75)",129,24,12900,7590,18.60465116,58.8372093,6,12900,9070,4.651162791,70.31007752
875,8,D,"[0.75, 0.8)",20,2,2000,540,10,27,0,2000,0,0,0
876,8,D,"[0.8, 0.85)",12,2,1200,520,16.66666667,43.33333333,0,1200,0,0,0
877,8,D,"[0.85, 0.9)",7,1,700,290,14.28571429,41.42857143,1,700,890,14.28571429,127.1428571
878,8,D,"[0.9, 0.95)",6,1,600,510,16.66666667,85,0,600,0,0,0
879,8,D,"[0.95, 1.0)",3,1,300,510,33.33333333,170,0,300,0,0,0
880,8,D,"[1.0, 1.05)",1,0,100,0,0,0,0,100,0,0,0
881,8,D,"[1.05, 1.1)",1,0,100,0,0,0,0,100,0,0,0
882,8,D,"[1.1, 1.15)",2,0,200,0,0,0,0,200,0,0,0
883,8,D,"[1.15, 1.2)",3,0,300,0,0,0,0,300,0,0,0
884,8,D,"[1.2, 1.4)",2,0,200,0,0,0,0,200,0,0,0
885,8,D,"[1.4, 1.6)",1,0,100,0,0,0,0,100,0,0,0
886,8,D,"[2.0, 100.0)",5,3,500,660,60,132,1,500,860,20,172
887,8,E,"[0.0, 0.25)",4,1,400,280,25,70,0,400,0,0,0
888,8,E,"[0.25, 0.5)",72,10,7200,6300,13.88888889,87.5,3,7200,7860,4.166666667,109.1666667
889,8,E,"[0.5, 0.75)",166,23,16600,11930,13.85542169,71.86746988,4,16600,9540,2.409638554,57.46987952
