競馬場,データ種別,総合ランク,単勝オッズ帯,出走数,勝率,連対率,複勝率
浦和,総合ランクオッズ別,B,1.0～1.4,2.0,100.0,100.0,100.0
浦和,総合ランクオッズ別,B,1.5～1.9,22.0,59.1,72.7,81.8
浦和,総合ランクオッズ別,B,2.0～2.9,130.0,29.2,56.9,66.2
浦和,総合ランクオッズ別,B,3.0～3.9,220.0,18.2,39.5,58.6
浦和,総合ランクオッズ別,B,4.0～4.9,236.0,18.6,39.4,57.6
浦和,総合ランクオッズ別,B,5.0～6.9,327.0,16.2,29.7,48.6
浦和,総合ランクオッズ別,B,7.0～9.9,329.0,9.4,21.0,35.9
浦和,総合ランクオッズ別,B,10.0～14.9,250.0,7.6,17.6,32.0
浦和,総合ランクオッズ別,B,15.0～19.9,129.0,2.3,10.9,21.7
浦和,総合ランクオッズ別,B,20.0～29.9,124.0,4.8,12.1,27.4
浦和,総合ランクオッズ別,B,30.0～49.9,91.0,3.3,8.8,15.4
浦和,総合ランクオッズ別,B,50.0～99.9,63.0,0.0,1.6,6.3
浦和,総合ランクオッズ別,B,100.0～1000.0,28.0,0.0,0.0,0.0
浦和,総合ランクオッズ別,C,1.0～1.4,1.0,100.0,100.0,100.0
浦和,総合ランクオッズ別,C,1.5～1.9,14.0,28.6,64.3,85.7
浦和,総合ランクオッズ別,C,2.0～2.9,101.0,25.7,51.5,68.3
浦和,総合ランクオッズ別,C,3.0～3.9,187.0,17.1,31.6,51.9
浦和,総合ランクオッズ別,C,4.0～4.9,250.0,18.4,38.4,54.4
浦和,総合ランクオッズ別,C,5.0～6.9,427.0,12.2,26.2,43.3
浦和,総合ランクオッズ別,C,7.0～9.9,473.0,7.2,21.4,36.2
浦和,総合ランクオッズ別,C,10.0～14.9,475.0,6.9,21.3,33.7
浦和,総合ランクオッズ別,C,15.0～19.9,297.0,5.1,15.5,31.6
浦和,総合ランクオッズ別,C,20.0～29.9,298.0,3.4,11.7,22.8
浦和,総合ランクオッズ別,C,30.0～49.9,302.0,3.3,7.9,13.9
